PEAK,Time1,Price1,VALLEY,Time2,Price2
5047,2022-09-16 01:30:00,19873.0,5044,2022-09-16 02:15:00,19660.0
5036,2022-09-16 04:15:00,19880.8,4970,2022-09-16 20:45:00,19385.2
4967,2022-09-16 21:30:00,19790.0,4960,2022-09-16 23:15:00,19452.0
4958,2022-09-16 23:45:00,19587.6,4957,2022-09-17 00:00:00,19300.0
4927,2022-09-17 07:30:00,20068.8,4880,2022-09-17 19:15:00,19739.4
4864,2022-09-17 23:15:00,20182.6,4793,2022-09-18 17:00:00,19750.1
4792,2022-09-18 17:15:00,20039.1,4774,2022-09-18 21:45:00,19707.0
4771,2022-09-18 22:30:00,19865.1,4769,2022-09-18 23:00:00,19621.2
4769,2022-09-18 23:00:00,19869.9,4757,2022-09-19 02:00:00,19590.2
4754,2022-09-19 02:45:00,19737.5,4749,2022-09-19 04:00:00,19390.0
4746,2022-09-19 04:45:00,19522.8,4745,2022-09-19 05:00:00,19325.8
4741,2022-09-19 06:00:00,19516.1,4726,2022-09-19 09:45:00,18655.0
4720,2022-09-19 11:15:00,18863.9,4714,2022-09-19 12:45:00,18281.6
4678,2022-09-19 21:45:00,19424.4,4674,2022-09-19 22:45:00,19044.7
4671,2022-09-19 23:30:00,19224.7,4667,2022-09-20 00:30:00,18920.0
4652,2022-09-20 04:15:00,19686.3,4648,2022-09-20 05:15:00,19455.0
4646,2022-09-20 05:45:00,19669.6,4628,2022-09-20 10:15:00,19148.4
4613,2022-09-20 14:00:00,19581.5,4610,2022-09-20 14:45:00,19223.0
4607,2022-09-20 15:30:00,19417.6,4602,2022-09-20 16:45:00,19148.2
4597,2022-09-20 18:00:00,19318.0,4592,2022-09-20 19:15:00,19045.0
4590,2022-09-20 19:45:00,19145.0,4587,2022-09-20 20:30:00,18759.7
4581,2022-09-20 22:00:00,19175.0,4579,2022-09-20 22:30:00,18980.7
4577,2022-09-20 23:00:00,19316.7,4575,2022-09-20 23:30:00,18958.7
4574,2022-09-20 23:45:00,19137.4,4570,2022-09-21 00:45:00,18690.1
4564,2022-09-21 02:15:00,19092.9,4548,2022-09-21 06:15:00,18777.6
4523,2022-09-21 12:30:00,19123.0,4519,2022-09-21 13:30:00,18784.2
4491,2022-09-21 20:30:00,19333.0,4484,2022-09-21 22:15:00,19077.0
4473,2022-09-22 01:00:00,20154.1,4473,2022-09-22 01:00:00,18343.0
4470,2022-09-22 01:45:00,19788.0,4469,2022-09-22 02:00:00,19210.9
4453,2022-09-22 06:00:00,18564.2,4446,2022-09-22 07:45:00,18345.2
4414,2022-09-22 15:45:00,19279.2,4404,2022-09-22 18:15:00,19021.3
4398,2022-09-22 19:45:00,19310.0,4393,2022-09-22 21:00:00,18841.0
4392,2022-09-22 21:15:00,19066.0,4389,2022-09-22 22:00:00,18782.7
4386,2022-09-22 22:45:00,19018.8,4384,2022-09-22 23:15:00,18767.6
4370,2022-09-23 02:45:00,19483.1,4362,2022-09-23 04:45:00,19150.0
4357,2022-09-23 06:00:00,19504.8,4305,2022-09-23 19:00:00,18817.5
4300,2022-09-23 20:15:00,19063.2,4296,2022-09-23 21:15:00,18518.5
4291,2022-09-23 22:30:00,18850.0,4287,2022-09-23 23:30:00,18561.1
4284,2022-09-24 00:15:00,18840.7,4283,2022-09-24 00:30:00,18626.0
4260,2022-09-24 06:15:00,19398.0,4219,2022-09-24 16:30:00,18954.6
4205,2022-09-24 20:00:00,19217.0,4166,2022-09-25 05:45:00,18798.0
4114,2022-09-25 18:45:00,19196.0,4086,2022-09-26 01:45:00,18856.0
4084,2022-09-26 02:15:00,18981.0,4075,2022-09-26 04:30:00,18670.0
4063,2022-09-26 07:30:00,18927.2,4061,2022-09-26 08:00:00,18711.9
4029,2022-09-26 16:00:00,19311.5,4025,2022-09-26 17:00:00,19023.4
4023,2022-09-26 17:30:00,19178.8,4019,2022-09-26 18:30:00,18795.7
4011,2022-09-26 20:30:00,19231.6,3999,2022-09-26 23:30:00,18958.6
3986,2022-09-27 02:45:00,19255.0,3961,2022-09-27 09:00:00,19662.0
3960,2022-09-27 09:15:00,19792.8,3948,2022-09-27 12:15:00,19951.1
3944,2022-09-27 13:15:00,20368.0,3935,2022-09-27 15:30:00,20096.7
3920,2022-09-27 19:15:00,20375.0,3916,2022-09-27 20:15:00,20076.0
3915,2022-09-27 20:30:00,20336.8,3913,2022-09-27 21:00:00,20073.6
3912,2022-09-27 21:15:00,20229.4,3896,2022-09-28 01:15:00,18801.5
3893,2022-09-28 02:00:00,19169.0,3891,2022-09-28 02:30:00,18955.5
3890,2022-09-28 02:45:00,19145.8,3882,2022-09-28 04:45:00,18911.7
3872,2022-09-28 07:15:00,19228.3,3868,2022-09-28 08:15:00,18930.1
3865,2022-09-28 09:00:00,19007.4,3863,2022-09-28 09:30:00,18460.0
3849,2022-09-28 13:00:00,18870.8,3845,2022-09-28 14:00:00,18610.3
3842,2022-09-28 14:45:00,18797.4,3836,2022-09-28 16:15:00,18558.6
3831,2022-09-28 17:30:00,19140.0,3829,2022-09-28 18:00:00,18852.1
